Generation,Run_ID,Final_Fitness,Evac_Score,Cost_Score,Solution_Widths
2,86,1600.697129484169,1304.6241294841689,2960.7300000000005,"[2.0, 0.0, 4.0, 0.0, 0.0, 0.0, 4.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 2.0, 2.0]"
2,87,1647.7671107511642,1366.9771107511642,2807.9,"[4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 0.0, 2.0, 4.0]"
2,88,1803.8537447282147,1324.0507447282146,4798.030000000001,"[2.0, 4.0, 0.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 0.0, 4.0, 4.0, 4.0, 4.0, 0.0]"
2,89,1744.5272108513007,1445.5232108513005,2990.0400000000004,"[4.0, 2.0, 0.0, 4.0, 2.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0]"
2,90,1602.9092711665387,1336.2492711665386,2666.6000000000004,"[4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 2.0, 0.0, 0.0, 4.0, 0.0, 2.0]"
2,91,1699.247545334926,1370.5395453349258,3287.0800000000004,"[4.0, 0.0, 2.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 2.0]"
2,92,1708.9486211489411,1362.257621148941,3466.91,"[2.0, 4.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 2.0, 4.0, 2.0, 0.0]"
2,93,1703.5908315516683,1409.7098315516682,2938.8100000000004,"[2.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 0.0, 2.0, 4.0, 2.0, 2.0, 4.0, 4.0]"
2,94,1607.3795696469065,1356.7425696469063,2506.3700000000003,"[2.0, 2.0, 4.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0]"
2,95,1637.2611095590914,1337.9061095590914,2993.55,"[4.0, 2.0, 4.0, 0.0, 2.0, 0.0, 4.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 4.0]"
2,96,1627.5258862822097,1286.9058862822096,3406.2000000000003,"[2.0, 2.0, 4.0, 0.0, 2.0, 0.0, 2.0, 4.0, 0.0, 2.0, 2.0, 2.0, 4.0, 2.0, 0.0]"
2,97,1641.9974095371101,1270.9384095371101,3710.59,"[0.0, 4.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 4.0, 4.0, 2.0, 4.0]"
2,98,1842.9868493696758,1301.9758493696759,5410.110000000001,"[4.0, 4.0, 2.0, 4.0, 4.0, 2.0, 4.0, 4.0, 0.0, 2.0, 2.0, 2.0, 4.0, 4.0, 0.0]"
2,99,1791.6217091505255,1377.9097091505253,4137.120000000001,"[4.0, 0.0, 4.0, 2.0, 4.0, 4.0, 2.0, 4.0, 0.0, 2.0, 4.0, 0.0, 2.0, 0.0, 0.0]"
2,100,1594.5480171076874,1367.3350171076872,2272.1300000000006,"[0.0, 2.0, 2.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0]"
3,101,1530.3578282075682,1321.834828207568,2085.2300000000005,"[2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 0.0]"
3,102,1561.4045470834767,1358.0695470834767,2033.3500000000001,"[2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 4.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 2.0]"
3,103,1614.1584453441294,1301.3904453441294,3127.6800000000003,"[2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 4.0, 2.0, 2.0, 2.0, 2.0, 0.0, 4.0, 2.0, 0.0]"
3,104,1534.2042760770976,1358.1172760770976,1760.8700000000001,"[2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 2.0, 2.0]"
