ID,time,distance,start_x,start_y,end_x,end_y,state
301,43.7999,33.5765,285.866,186.705,253.489,182.705,0
302,8.8,9.34935,347.666,183.841,350.612,174.982,0
303,80.8993,89.1706,537.544,748.061,611.195,754.829,0
304,545.214,321.665,403.206,580.958,613.175,612.578,0
305,456.119,331.108,323.407,481.861,67.5368,404.462,0
306,192.703,166.793,146.853,546.699,149.728,706.316,0
307,525.919,301.425,409.077,568.309,613.34,613.061,0
308,566.009,350.642,306.859,515.93,150.292,706.174,0
309,103.799,106.292,540.539,713.787,611.798,753.278,0
310,412.416,310.364,374.386,440.594,349.462,174.486,0
311,484.12,367.307,359.239,491.83,349.521,174.606,0
312,119.399,137.99,511.305,717.414,611.808,753.575,0
313,48.3998,46.1242,602.34,291.196,635.999,282.558,0
314,51.8998,52.5032,609.103,164.738,647.568,192.026,0
315,119.899,104.737,348.781,243.126,349.885,174.702,0
316,237.805,237.048,492.741,504.297,615.554,540.362,0
317,56.9997,52.3098,262.72,234.053,250.246,184.918,0
318,18.8,25.2933,623.559,184.41,647.822,191.37,0
319,161.601,164.931,518.749,208.533,647.708,191.809,0
320,440.718,240.87,433.337,607.451,613.175,612.742,0
321,58.0997,57.0451,593.422,699.443,612.393,751.944,0
322,151.8,130.547,160.052,597.299,150.666,706.232,0
323,152.8,119.436,188.154,263.028,248.332,184.79,0
324,425.717,223.622,229.909,555.173,150.334,706.084,0
325,365.713,230.095,451.41,338.661,356.331,173.073,0
326,97.7991,119.26,355.631,707.973,313.361,818.181,0
327,433.017,223.984,229.138,557.151,150.343,706.053,0
328,337.711,176.733,518.439,179.405,356.334,173.056,0
329,158.2,133.33,143.135,578.025,149.794,706.287,0
330,454.719,271.559,395.27,618.648,613.302,612.41,0
331,329.311,188.699,255.064,352.446,249.877,185.109,0
332,225.005,169.905,200.596,587.827,149.901,706.199,0
333,256.706,126.563,223.553,304.616,248.045,184.627,0
334,143.8,98.1459,164.262,403.62,67.8181,405.25,0
335,223.304,134.69,211.525,310.008,248.542,184.782,0
336,157.6,149.923,318.876,297.282,251.61,184.428,0
337,422.117,198.537,439.616,640.756,613.318,613.113,0
338,76.3994,65.0921,579.004,706.734,612.089,752.632,0
339,224.204,166.644,198.129,592.425,149.957,706.214,0
340,93.0992,74.7946,268.559,777.326,310.72,818.78,0
341,328.511,231.751,462.2,430.081,615.636,539.59,0
342,312.31,296.506,356.577,549.456,313.056,818.084,0
343,146.2,126.526,237.921,760.909,152.776,707.117,0
344,59.3997,64.0422,565.255,782.757,611.06,755.366,0
345,17,22.8019,172.468,709.162,151.315,706.501,0
346,176.902,148.655,598.427,451.07,615.519,539.883,0
347,222.104,142.463,288.162,308.575,250.237,185.04,0
348,357.013,202.807,285.385,641.273,150.296,706.081,0
349,92.7992,78.2403,268.56,259.383,249.356,185.246,0
350,244.506,218.123,370.61,633.271,313.066,818.131,0
351,532.917,288.382,448.013,571.931,613.23,612.881,0
352,84.8993,76.5528,585.444,315.689,630.357,334.05,0
353,285.708,176.602,496.055,366.659,630.354,334.085,0
354,0,0,621.247,539.627,621.247,539.627,0
355,184.502,163.075,275.404,678.055,152.43,706.912,0
356,370.813,238.388,228.187,492.015,67.5858,405.67,0
357,413.616,280.838,261.561,504.714,67.5484,406.104,0
358,190.402,144.267,231.929,777.199,152.382,706.914,0
359,145.9,133.108,532.339,151.063,653.493,130.191,0
360,69.2995,95.2722,343.139,728.771,313.166,818.2,0
361,6.1,6.01604,344.84,177.209,350.127,174.796,0
362,345.212,209.592,213.169,476.451,67.5976,405.825,0
363,77.1994,69.2362,593.887,182.03,648.45,190.854,0
364,357.313,241.559,460.672,336.286,355.397,174.541,0
365,450.918,278.861,419.903,389.425,630.345,334.037,0
366,103.999,90.9591,576.489,370.875,630.255,334.259,0
367,242.506,174.729,421.123,293.414,355.512,174.418,0
368,83.4993,71.9432,196.486,210.795,248.121,184.688,0
369,276.808,164.842,503.086,182.666,356.042,173.593,0
370,199.303,104.227,195.225,641.496,150.128,706.122,0
371,367.813,186.321,505.666,679.533,613.274,612.533,0
372,262.507,217.248,395.742,319.758,349.82,174.719,0
373,337.811,249.715,313.205,380.906,248.55,184.9,0
374,433.817,293.466,426.907,413.847,630.31,334.111,0
375,46.0999,37.3201,270.347,213.781,252.055,184.227,0
376,171.701,131.194,395.144,244.824,355.572,174.432,0
