ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
38928,354.512,100.715,231.774,277.44,250.429,184.895,0,62.9467,291.566,5.63194
38929,649.388,193.439,212.311,446.847,67.6304,405.754,0,120.899,528.489,5.37132
38930,321.21,170.604,410.469,711.519,316.061,819.395,0,106.628,214.583,3.01245
38931,1125.57,206.035,492.908,444.454,615.451,540.105,0,128.772,996.801,8.74083
38932,209.904,92.1473,313.575,742.555,312.393,818.102,0,57.5921,152.312,3.64466
38933,188.602,75.9446,578.02,131.805,653.567,130.28,0,47.4654,141.137,3.97347
38934,1558.97,373.814,356.701,457.927,349.901,174.833,0,233.634,1325.33,6.6727
38935,95.2991,71.5104,199.529,638.049,143.945,617.993,0,44.694,50.6051,2.13226
38936,129.299,44.4853,398.675,173.52,355.244,174.511,0,27.8033,101.495,4.65048
38937,709.374,346.406,332.654,438.919,253.523,182.654,0,216.504,492.87,3.2765
38938,1528.07,279.809,465.798,434.947,615.551,539.848,0,174.881,1353.19,8.73781
38939,164.601,38.6455,312.993,182.884,349.129,174.435,0,24.1535,140.447,6.81479
38940,113.399,58.3367,597.953,140.798,653.784,130.834,0,36.4604,76.9384,3.11019
38941,1929.28,294.361,428.381,536.495,517.817,628.456,1,183.975,1745.3,10.4866
38942,13.1,8.47589,622.433,331.624,630.631,333.235,0,5.29743,7.80258,2.4729
38943,189.202,76.5706,566.533,500.679,615.559,540.217,0,47.8566,141.346,3.95353
38944,156.1,58.3386,272.364,231.163,251.972,184.198,0,36.4616,119.639,4.28122
38945,830.444,131.302,510.098,647.485,613.267,613.21,0,82.0637,748.381,10.1195
38946,757.362,267.097,260.02,538.503,139.85,611.076,0,166.936,590.426,4.53685
38947,132.599,62.9425,594.889,302.944,630.463,333.481,0,39.339,93.2599,3.37067
38948,1929.28,303.829,465.208,453.655,603.17,528.25,1,189.893,1739.38,10.1598
38949,16.9,11.8172,139.717,632.624,139.53,620.815,0,7.38575,9.51427,2.28819
38950,540.715,129.565,544.761,674.508,613.401,613.542,0,80.978,459.737,6.67731
38951,300.509,101.012,150.544,517.357,139.603,611.209,0,63.1324,237.377,4.75999
38952,391.915,154.503,226.4,577.31,144.744,615.584,0,96.5644,295.35,4.05858
38953,1929.28,327.024,433.555,578.512,505.616,650.994,1,204.39,1724.89,9.43919
38954,403.415,141.09,504.834,718.995,611.436,754.364,0,88.181,315.234,4.57486
38955,169.601,51.2106,260.108,234.045,250.965,184.649,0,32.0066,137.595,5.29894
38956,441.618,106.213,554.791,321.897,630.303,334.083,0,66.3833,375.234,6.65254
38957,1287.13,216.878,490.964,410.891,630.304,334.126,0,135.548,1151.58,9.49574
38958,351.812,154.073,109.212,496.395,67.7811,405.198,0,96.2956,255.517,3.65346
38959,152.2,72.0099,558.835,606.784,613.949,610.969,0,45.0062,107.194,3.38176
38960,467.919,140.131,542.048,185.578,647.864,191.685,0,87.5819,380.337,5.34265
38961,138.499,87.9561,235.006,728.24,152.601,701.794,0,54.9726,83.5267,2.51942
38962,163.001,64.3701,310.755,762.126,312.318,818.111,0,40.2313,122.769,4.05159
38963,763.361,214.655,282.609,575.618,144.715,615.612,0,134.159,629.201,5.68995
38964,691.678,266.333,334.663,389.866,253.529,182.494,0,166.458,525.22,4.15526
38965,68.9995,53.8674,325.233,766.513,313.542,818.256,0,33.6671,35.3324,2.04946
38966,795.553,224.61,329.361,593.199,144.745,615.664,0,140.381,655.172,5.66709
38967,743.565,154.17,491.231,620.573,613.288,613.182,0,96.3561,647.209,7.71685
38968,611.498,109.798,227.543,284.068,249.079,185.122,0,68.624,542.874,8.91084
38969,144.8,120.865,338.469,701.814,314.846,818.771,0,75.5403,69.2593,1.91685
38970,1121.47,323.78,360.623,521.504,144.583,616.664,0,202.362,919.111,5.54191
38971,486.32,170.623,227.868,388.278,67.5421,404.32,0,106.64,379.681,4.56042
38972,667.184,259.371,288.758,437.063,66.6412,402.181,0,162.107,505.077,4.11571
38973,56.1997,32.7513,87.8567,423.837,67.6407,405.894,0,20.4696,35.7302,2.74553
38974,53.7998,24.9022,332.056,188.74,351.268,175.333,0,15.5639,38.2359,3.45671
38975,54.5997,39.2867,616.546,136.939,654.015,131.329,0,24.5542,30.0456,2.22364
38976,410.416,158.338,183.522,481.853,141.259,611.612,0,98.9612,311.455,4.14724
38977,30.3001,19.5025,146.454,674.988,148.961,693.446,0,12.1891,18.111,2.48584
38978,269.607,83.8538,256.693,257.447,250.941,184.721,0,52.4086,217.199,5.14433
38979,333.411,113.618,556.762,198.659,647.56,191.899,0,71.011,262.4,4.6952
38980,413.816,74.0875,299.555,762.59,311.748,818.407,0,46.3047,367.511,8.93681
38981,208.304,100.356,118.583,460.675,67.422,406.272,0,62.7225,145.581,3.32104
38982,673.083,139.662,539.662,659.284,613.372,613.287,0,87.289,585.794,7.71097
38983,252.306,139.864,345.649,691.812,314.133,818.551,0,87.4149,164.891,2.88631
38984,1034.79,216.063,468.278,288.204,355.814,174.261,0,135.039,899.755,7.66292
38985,933.819,303.627,271.608,484.503,139.946,611.09,0,189.767,744.052,4.92087
38986,140.999,64.0322,114.618,427.631,67.697,405.57,0,40.0201,100.979,3.52321
38987,81.0993,52.8005,603.277,222.115,648.725,198.344,0,33.0003,48.099,2.45753
38988,292.809,126.689,528.395,119.705,653.823,129.056,0,79.1806,213.628,3.69799
38989,13,9.71352,357.903,184.16,353.692,175.197,0,6.07095,6.92906,2.14135
38990,252.606,143.97,215.212,534.846,144.693,615.683,0,89.9815,162.625,2.80731
38991,97.4991,55.6913,81.0981,448.176,67.0483,407.239,0,34.807,62.692,2.80113
38992,41.9999,26.9525,317.913,791.859,312.743,817.992,0,16.8453,25.1546,2.49327
38993,960.812,194.239,486.291,209.59,355.606,174.409,0,121.4,839.413,7.91447
38994,224.104,67.4727,548.647,616.464,613.289,612.4,0,42.1704,181.934,5.31426
