ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
20825,300.109,169.285,405.685,708.595,315.586,819.215,0,105.803,194.306,2.83648
20826,0,0,147.787,697.22,147.787,697.22,0,0,0,0
20827,277.808,49.4498,224.2,219.523,249.558,185.207,0,30.9061,246.902,8.98875
20828,575.507,262.718,394.887,639.292,313.252,818.201,0,164.199,411.308,3.50494
20829,485.52,168.6,218.787,417.911,67.7297,404.844,0,105.375,380.146,4.60756
20830,820.847,246.075,300.534,567.229,144.701,615.627,0,153.797,667.05,5.33722
20831,754.463,282.363,349.214,569.238,144.395,617.216,0,176.477,577.986,4.27514
20832,801.351,150.259,480.239,169.238,356.182,173.434,0,93.912,707.439,8.533
20833,762.561,358.469,387.249,533.947,313.129,818.092,0,224.043,538.518,3.40363
20834,367.013,114.749,511.623,636.877,613.405,612.203,0,71.7179,295.295,5.11745
20835,744.865,311.576,332.345,427.856,253.314,183.132,0,194.735,550.13,3.82502
20836,107.099,62.5399,192.646,684.444,153.703,700.218,0,39.0874,68.0115,2.73999
20837,963.612,172.244,492.53,173.656,356.089,173.546,0,107.652,855.959,8.95114
20838,907.326,255.582,469.629,504.5,613.629,611.741,0,159.739,747.587,5.68005
20839,10.7,6.17349,596.112,834.348,602.358,833.298,0,3.85843,6.84157,2.77315
20840,486.22,123.496,313.261,246.599,349.866,174.73,0,77.1851,409.035,6.29941
20841,712.973,182.784,376.376,303.413,349.897,174.769,0,114.24,598.733,6.24101
20842,296.209,143.358,150.742,476.767,67.7443,405.589,0,89.5988,206.61,3.30595
20843,766.76,266.816,258.297,544.548,139.851,611.102,0,166.76,600,4.59799
20844,318.41,93.2761,253.81,791.536,311.757,818.363,0,58.2975,260.113,5.46181
20845,117.999,60.0809,598.658,202.593,647.031,195.443,0,37.5506,80.4482,3.14239
20846,648.889,186.453,517.184,191.577,648.369,190.77,0,116.533,532.356,5.56829
20847,102.799,46.7043,587.453,643.616,613.388,613.527,0,29.1902,73.6088,3.5217
20848,462.019,141.458,525.797,693.142,612.154,752.475,0,88.4116,373.607,5.22578
20849,289.808,105.25,449.549,179.33,356.398,172.892,0,65.7812,224.027,4.40564
20850,247.306,130.638,256.736,683.858,150.291,693.439,0,81.6485,165.657,3.02891
20851,644.59,188.527,568.259,533.353,613.599,611.846,0,117.829,526.76,5.47055
