step,time,alive
1120,1120,5015
1121,1121,5007
1122,1122,4995
1123,1123,4984
1124,1124,4973
1125,1125,4963
1126,1126,4954
1127,1127,4941
1128,1128,4933
1129,1129,4919
1130,1130,4909
1131,1131,4901
1132,1132,4890
1133,1133,4879
1134,1134,4868
1135,1135,4860
1136,1136,4849
1137,1137,4836
1138,1138,4829
1139,1139,4819
1140,1140,4809
1141,1141,4797
1142,1142,4785
1143,1143,4779
1144,1144,4767
1145,1145,4757
1146,1146,4747
1147,1147,4738
1148,1148,4726
1149,1149,4717
1150,1150,4707
1151,1151,4693
1152,1152,4684
1153,1153,4675
1154,1154,4664
1155,1155,4655
1156,1156,4646
1157,1157,4634
1158,1158,4624
1159,1159,4614
1160,1160,4606
1161,1161,4595
1162,1162,4583
1163,1163,4574
1164,1164,4565
1165,1165,4556
1166,1166,4544
1167,1167,4536
1168,1168,4526
1169,1169,4515
1170,1170,4504
1171,1171,4494
1172,1172,4484
1173,1173,4474
1174,1174,4464
1175,1175,4457
1176,1176,4443
1177,1177,4432
1178,1178,4423
1179,1179,4414
1180,1180,4404
1181,1181,4393
1182,1182,4384
1183,1183,4374
1184,1184,4366
1185,1185,4355
1186,1186,4345
1187,1187,4334
1188,1188,4326
1189,1189,4317
1190,1190,4305
1191,1191,4296
1192,1192,4287
1193,1193,4278
1194,1194,4267
1195,1195,4253
1196,1196,4246
1197,1197,4235
1198,1198,4225
1199,1199,4214
1200,1200,4205
1201,1201,4195
1202,1202,4186
1203,1203,4176
1204,1204,4165
1205,1205,4156
1206,1206,4144
1207,1207,4137
1208,1208,4125
1209,1209,4115
1210,1210,4104
1211,1211,4094
1212,1212,4083
1213,1213,4074
1214,1214,4064
1215,1215,4054
1216,1216,4043
1217,1217,4033
1218,1218,4022
1219,1219,4012
1220,1220,4000
1221,1221,3991
1222,1222,3982
1223,1223,3970
1224,1224,3959
1225,1225,3950
1226,1226,3940
1227,1227,3931
1228,1228,3920
1229,1229,3912
1230,1230,3901
1231,1231,3891
1232,1232,3881
1233,1233,3873
1234,1234,3863
1235,1235,3856
1236,1236,3849
1237,1237,3838
1238,1238,3831
1239,1239,3823
1240,1240,3816
1241,1241,3808
1242,1242,3798
1243,1243,3790
1244,1244,3783
1245,1245,3775
1246,1246,3767
1247,1247,3758
1248,1248,3750
1249,1249,3741
1250,1250,3733
1251,1251,3724
1252,1252,3715
1253,1253,3708
1254,1254,3700
1255,1255,3693
1256,1256,3684
1257,1257,3676
1258,1258,3669
1259,1259,3661
1260,1260,3652
1261,1261,3645
1262,1262,3636
1263,1263,3629
1264,1264,3620
1265,1265,3613
1266,1266,3604
1267,1267,3596
1268,1268,3587
1269,1269,3581
1270,1270,3574
1271,1271,3565
1272,1272,3558
1273,1273,3550
1274,1274,3543
1275,1275,3535
1276,1276,3528
1277,1277,3522
1278,1278,3512
1279,1279,3504
1280,1280,3496
1281,1281,3489
1282,1282,3480
1283,1283,3473
1284,1284,3465
1285,1285,3459
1286,1286,3450
1287,1287,3442
1288,1288,3433
1289,1289,3425
1290,1290,3418
1291,1291,3409
1292,1292,3404
1293,1293,3396
1294,1294,3387
1295,1295,3379
1296,1296,3374
1297,1297,3367
1298,1298,3358
1299,1299,3351
1300,1300,3342
1301,1301,3335
1302,1302,3326
1303,1303,3319
1304,1304,3313
1305,1305,3303
1306,1306,3298
1307,1307,3290
1308,1308,3283
1309,1309,3275
1310,1310,3268
1311,1311,3260
1312,1312,3251
1313,1313,3246
1314,1314,3239
1315,1315,3231
1316,1316,3222
1317,1317,3215
1318,1318,3208
1319,1319,3199
1320,1320,3192
1321,1321,3183
1322,1322,3177
1323,1323,3169
1324,1324,3161
1325,1325,3154
1326,1326,3147
1327,1327,3142
1328,1328,3131
1329,1329,3124
1330,1330,3117
1331,1331,3109
1332,1332,3102
1333,1333,3094
1334,1334,3087
1335,1335,3080
1336,1336,3071
1337,1337,3063
1338,1338,3056
1339,1339,3049
1340,1340,3040
1341,1341,3035
1342,1342,3026
1343,1343,3019
1344,1344,3013
1345,1345,3006
1346,1346,2998
1347,1347,2990
1348,1348,2982
1349,1349,2977
1350,1350,2970
1351,1351,2961
1352,1352,2954
1353,1353,2945
1354,1354,2939
1355,1355,2931
1356,1356,2925
1357,1357,2917
1358,1358,2910
1359,1359,2902
1360,1360,2892
1361,1361,2885
1362,1362,2877
1363,1363,2871
1364,1364,2864
1365,1365,2856
1366,1366,2847
1367,1367,2839
1368,1368,2834
1369,1369,2828
1370,1370,2821
1371,1371,2813
1372,1372,2804
1373,1373,2797
1374,1374,2789
1375,1375,2783
1376,1376,2774
1377,1377,2767
1378,1378,2759
1379,1379,2752
1380,1380,2746
1381,1381,2740
1382,1382,2732
1383,1383,2723
1384,1384,2718
1385,1385,2712
1386,1386,2707
1387,1387,2700
1388,1388,2695
1389,1389,2691
1390,1390,2685
1391,1391,2681
1392,1392,2676
1393,1393,2670
1394,1394,2664
1395,1395,2659
1396,1396,2653
1397,1397,2649
1398,1398,2643
1399,1399,2638
1400,1400,2632
1401,1401,2628
1402,1402,2621
1403,1403,2616
1404,1404,2611
1405,1405,2606
1406,1406,2601
1407,1407,2597
1408,1408,2593
1409,1409,2589
1410,1410,2583
1411,1411,2576
1412,1412,2573
1413,1413,2566
1414,1414,2562
1415,1415,2558
1416,1416,2554
1417,1417,2547
1418,1418,2544
1419,1419,2539
1420,1420,2533
1421,1421,2528
1422,1422,2523
1423,1423,2517
1424,1424,2515
1425,1425,2508
1426,1426,2504
1427,1426.9,2498
